Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	Press [dbar] (CTD, SEA-BIRD SBE 911plus)	Temp [°C] (CTD, SEA-BIRD SBE 911plus)	Sal (CTD, SEA-BIRD SBE 911plus)	OXYGEN [µmol/kg] (CTD, SEA-BIRD SBE 911plus)	Sal	OXYGEN [µmol/kg]	NITRAT [µmol/kg]	NITRIT [µmol/kg]	N2O [nmol/kg]	PON [µmol/kg] (Measured)	DON [µmol/kg]	POC [µmol/kg] (Measured)	[NH4]+ [µmol/kg]	PHSPHT [µmol/kg]	POP [µmol/kg]	DOP [µmol/kg]	SILCAT [µmol/kg]	bSiO2 [µmol/kg]	CHLORA [µg/kg]
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	295.1	1024	297.9	11.497	34.834	2.7															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	296.7	201512	299.6	11.466	34.835	2.8	34.825	3.3	35.55	0.13					0.44	2.64			32.66		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	343.9	1022	347.3	10.426	34.767	4.6															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	345.4	201511	348.8	10.389	34.762	4.7			38.21	0.11					0.30	2.71			37.18		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	396.6	201510	400.5	8.951	34.686	4.6	34.677	5.8	42.98	0.06					0.13	2.92			44.83		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	396.7	1020	400.6	8.949	34.686	4.7															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	493.8	1018	498.8	7.853	34.635	13.0															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	495.4	201509	500.4	7.822	34.635	13.4			45.03	0.08					0.35	3.12			48.31		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	595.3	201508	601.4	6.710	34.598	27.4	34.594	29.0	46.66	0.08					0.03	3.20			55.61		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	595.5	1016	601.6	6.711	34.598	27.4															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	691.1	1014	698.4	5.953	34.578	38.6															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	692.7	201507	700.0	5.945	34.579	38.6			46.70	0.07					0.10	3.10			67.43		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	789.8	1012	798.3	5.624	34.576	42.7															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	791.6	201506	800.1	5.620	34.576	43.0	34.576	48.4	46.31	0.11					0.16	3.18			71.25		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	888.8	1010	898.6	5.108	34.573	50.2															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	890.9	201505	900.7	5.103	34.573	50.2			46.32	0.01					0.00	3.15			79.24		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	963.5	1008	974.3	4.758	34.575	56.0															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	974.1	201504	985.0	4.658	34.576	57.9	34.577	55.0	46.15	0.01					0.09	3.02			82.37		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	985.2	1006	996.3	4.582	34.577	59.2															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	1073.7	201501	1086.0	4.425	34.580	61.0	34.580		45.76	0.00					0.20	2.92			94.88		
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	1073.9	1004	1086.2	4.426	34.580	61.0															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	1073.9	201502	1086.2	4.422	34.580	61.0															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	1073.9	1002	1086.2	4.424	34.580	61.0															
M77/3-CTD1	2008-12-28T09:28	-4.000200	-81.391300	1074.0	201503	1086.3	4.426	34.580	61.0															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	2.2	201535	2.2	22.784	33.202	199.0															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	2.5	201534	2.5	22.780	33.203	198.8															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	2.6	201533	2.6	22.783	33.202	198.9		199.4	3.71	0.11		1.94		11.19	0.36	0.46	0.11000		2.44		0.90
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	10.4	201532	10.5	17.974	34.851	132.2	34.899	109.4	19.75	0.66		0.27		1.82	1.44	1.73	0.07000		8.34	0.80000	0.48
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	20.4	201531	20.6	16.298	35.056	89.6		76.0	23.08	0.79		0.75		5.01	1.25	1.89	0.05000		11.12	0.36000	0.30
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	30.0	201530	30.3	16.004	35.070	73.6	35.055	64.5	24.75	1.01		0.69		4.84	0.88	1.99	0.04000		13.20	0.20000	0.18
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	40.1	201529	40.5	15.210	35.050	50.3		55.4	27.15	0.42		0.67	1.69	4.94	0.18	2.08	0.03000	0.09	14.24	0.19000	0.10
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	48.2	201528	48.6	14.800	35.036	49.0															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	49.2	201527	49.6	14.785	35.033	50.7															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	49.9	201526	50.4	14.774	35.032	51.5	35.027	54.2	27.50	0.08		0.70	0.57	5.20	0.42	2.12	0.03000	0.08	15.29	0.12000	0.08
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	60.1	201525	60.6	14.694	35.031	51.3			27.71	0.08		0.64	0.48	5.54	0.30	2.11	0.01000	0.14	15.63		0.06
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	69.3	201524	69.9	14.545	35.019	52.4	35.016	52.9	27.93	0.06					0.17	2.13			17.37		
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	79.7	201523	80.4	14.452	35.015	48.5			28.36	0.02		0.61	2.05	5.25	0.05	2.15	0.02000	0.08	17.72	0.11000	0.04
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	89.7	201522	90.5	14.417	35.013	41.8	34.995	39.2	29.92	0.02					0.15	2.27			20.85		
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	99.2	201521	100.1	14.195	34.996	38.6															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	100.0	201520	100.9	14.128	34.992	37.9															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	100.6	201519	101.5	14.108	34.989	36.0		32.7	30.20	0.04		0.74	0.64	6.72	0.11	2.32	0.03000	0.14	21.19	0.20000	0.02
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	119.4	201518	120.5	13.797	34.975	22.2	34.972		31.98	0.03					0.21	2.20			22.58		
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	149.2	201517	150.6	13.591	34.968	9.2			32.81	0.00		0.52	1.07	4.85	0.13	2.28	0.03000	0.15	23.63	0.28000	0.00
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	197.4	201516	199.3	12.971	34.924	8.0															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	198.4	201515	200.3	12.960	34.924	8.2															
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	199.2	201514	201.1	12.921	34.922	8.0	34.920					0.44		4.20			0.01000			0.17000	0.00
M77/3-CTD2	2008-12-28T11:12	-4.000200	-81.391300	248.9	201513	251.3	12.362	34.885	6.3			34.48	0.08		0.43	2.87	4.15	0.31	2.52	0.01000	0.10	28.15	0.30000	0.00
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	1.9	3001	1.9	19.273	34.908	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	1.9	3012	1.9	19.260	34.908	217.9															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.0	3009	2.0	19.257	34.907	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.0	3006	2.0	19.261	34.907	217.8															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.0	3005	2.0	19.268	34.907	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.1	3004	2.1	19.269	34.907	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.1	3002	2.1	19.265	34.907	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.1	3003	2.1	19.271	34.908	217.3															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.1	3018	2.1	19.265	34.907	217.2															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.1	3023	2.1	19.287	34.907	217.3															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.2	3011	2.2	19.260	34.905	217.9															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.2	3008	2.2	19.255	34.908	217.7															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.2	3017	2.2	19.274	34.904	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.2	3019	2.2	19.269	34.906	217.5															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3014	2.3	19.258	34.907	217.8															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3016	2.3	19.282	34.911	217.5															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3013	2.3	19.252	34.908	217.4															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3007	2.3	19.256	34.908	217.8															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3024	2.3	19.284	34.908	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3022	2.3	19.290	34.908	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.3	3021	2.3	19.285	34.907	217.7															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.4	3020	2.4	19.287	34.904	217.6															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.4	3015	2.4	19.261	34.907	217.8															
M77/3-CTD3	2008-12-28T22:37	-6.000300	-81.361500	2.5	3010	2.5	19.271	34.908	217.5															
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	1.6	201558	1.6	19.227	34.897	217.0		214.2	10.93	0.34					0.09	0.97			8.34		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	10.9	201557	11.0	18.170	34.983	214.4	34.990		11.86	0.51					0.52	1.07			6.60		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	20.4	201556	20.6	17.316	35.012	169.4		131.6	14.86	1.11					2.68	1.62			6.60		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	30.0	201555	30.3	16.650	35.003	109.2	35.005		18.34	1.58					2.79	1.89			8.34		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	39.9	201554	40.3	16.234	35.004	80.2		129.4	22.43	2.00					2.00	2.11			10.42		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	49.9	201553	50.4	15.723	35.013	44.0	35.015		28.86	0.80					0.71	2.58			12.86		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	59.7	201552	60.2	14.966	35.020	6.0		7.6	28.79	1.77					0.26	2.71			18.76		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	70.4	201551	71.0	14.668	35.011	5.9	35.007		31.09	0.18					0.17	2.61			18.41		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	79.5	201550	80.2	14.352	35.001	6.7		8.1	31.67	0.17					0.11	2.58			18.07		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	89.8	201549	90.6	14.259	34.999	11.0	34.994		31.63	0.16					0.00	2.53			18.07		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	98.7	201548	99.6	14.130	34.992	10.0		9.8	32.02	0.09					0.12	2.50			19.11		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	117.7	201547	118.8	13.972	34.982	5.8	34.983		32.57	0.04					0.25	2.57			19.46		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	147.9	201546	149.3	13.730	34.973	4.7		5.7	32.86	0.02					0.09	2.62			20.15		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	197.4	201545	199.3	13.221	34.942	3.8	34.933		33.06	0.01					0.10	2.68			23.28		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	246.6	201544	248.9	11.990	34.868	2.7		5.1	33.83	0.03					0.12	2.91			27.45		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	296.6	201543	299.5	11.272	34.825	2.5	34.815		32.72	0.86					0.27	3.02			28.84		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	345.8	201542	349.2	10.266	34.760	2.5		2.7	36.16	0.29					0.49	3.20			33.71		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	395.5	201541	399.4	9.211	34.706	3.2	34.695		40.65	0.01					0.09	3.35			39.27		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	493.6	201540	498.6	8.106	34.647	7.4		7.1	44.20	0.06					0.07	3.48			45.18		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	576.4	201539	582.3	7.154	34.609	10.1	34.602		48.28	0.02					0.68	3.69			49.35		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	789.8	201538	798.3	5.128	34.568	43.8		43.2	47.40	0.02					0.15	3.54			65.34		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	890.3	201537	900.1	4.760	34.570	51.8	34.570		45.94	0.01					0.17	3.51			64.65		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	989.3	201559	1000.4	4.515	34.573	56.7	34.573		46.22	0.01					0.10	3.43			70.21		
M77/3-CTD4	2008-12-28T23:35	-6.000200	-81.361200	989.4	201536	1000.5	4.516	34.574	56.6		55.3	46.64	0.01					0.59	3.53			66.73		
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	1.6	201582	1.6	19.068	34.907	212.6															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	1.9	201583	1.9	19.057	34.907	212.9															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	12.9	201581	13.0	19.026	34.909	212.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	13.0	201580	13.1	19.013	34.921	212.9															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	13.1	201579	13.2	18.699	34.924	210.1															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	13.1	201578	13.2	18.694	34.931	207.3															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	61.3	201577	61.9	14.840	35.011	9.2															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	61.3	201576	61.9	14.840	35.011	9.0															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	61.3	201575	61.9	14.841	35.012	9.2															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	61.4	201574	62.0	14.841	35.011	9.3															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	61.6	201573	62.2	14.842	35.011	9.2															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	68.4	201572	69.0	14.580	35.007	3.5															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	68.6	201571	69.2	14.589	35.009	3.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	68.8	201570	69.4	14.587	35.008	3.3															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	99.0	201569	99.9	14.023	34.986	6.9															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	100.0	201568	100.9	14.014	34.986	6.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	194.8	201567	196.6	12.862	34.921	3.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	196.4	201566	198.2	12.826	34.912	3.2															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	197.6	201565	199.5	12.850	34.917	3.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	341.7	201564	345.0	10.122	34.753	2.5															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	343.8	201563	347.1	10.080	34.750	2.5															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	345.9	201562	349.3	10.038	34.748	2.5															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	987.3	201560	998.4	4.648	34.572	53.4															
M77/3-CTD5	2008-12-29T01:22	-6.000200	-81.361200	987.7	201561	998.8	4.644	34.571	53.4															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	1.5	201604	1.5	19.388	34.994	212.8	35.000	181.9	6.75	0.55					0.72	1.86	0.22000	0.08	6.25		3.49
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	2.0	201605	2.0	19.399	34.996	213.3															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	2.7	201606	2.7	19.388	34.993	211.3															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	9.6	201603	9.7	18.728	35.036	155.4		129.5	12.64	0.91		5.21	2.14	32.45	0.64	1.87	0.24000	0.25	6.95		2.92
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	20.6	201602	20.8	15.901	35.012	10.7	35.035		31.58	0.55		1.27	3.64	10.01	0.24	2.68	0.08000	0.20	12.16		0.27
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	29.9	201601	30.2	15.458	35.034	6.1		5.9	32.37	0.11					0.34	2.61			14.24		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	40.6	201600	41.0	14.569	35.015	8.7			32.51	0.05		1.17	3.71	10.53	0.26	2.55	0.05000	0.20	16.68		0.13
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	49.7	201599	50.2	14.352	35.004	10.6			32.31	0.02					0.41	2.40			17.37		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	59.9	201598	60.4	14.268	35.004	10.6	35.002	10.6	32.50	0.04		1.76	3.00	14.88	0.07	2.48	0.04000	0.16	17.72		0.08
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	70.0	201597	70.6	14.182	34.998	10.4			32.52	0.05					0.08	2.54			17.72		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	80.5	201594	81.2	14.082	34.994	9.1	34.997	9.4	31.49	0.06		0.78	1.95	7.77	0.12	2.36	0.05000	0.38	18.41		0.07
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	80.9	201595	81.6	14.124	34.999	10.0															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	80.9	201596	81.6	14.108	34.994	9.5															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	89.4	201593	90.2	14.046	34.994	8.4			32.72	0.08					0.24	2.54			18.76		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	99.3	201592	100.2	13.973	34.989	6.7	34.987		30.36	0.07					0.07	2.38			18.07		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	109.3	201591	110.3	13.896	34.986	5.8			31.75	0.55		1.05	3.49	8.65	0.52	2.62	0.05000	0.24	19.80		0.15
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	118.9	201590	120.0	13.816	34.980	3.6	34.979	3.9	24.30	4.07					0.48	2.79			24.67		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	128.5	201589	129.7	13.754	34.974	2.0			16.30	8.20					1.02	3.09			30.23		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	139.2	201584	140.5	13.747	34.974	2.2	34.976														
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	139.3	201585	140.6	13.746	34.974	2.1															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	139.6	201586	140.9	13.744	34.974	2.1															
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	139.7	201588	141.0	13.744	34.974	2.1			14.71	9.02					1.18	3.15			30.92		
M77/3-CTD6	2008-12-29T17:15	-8.000500	-79.844800	139.8	201587	141.1	13.744	34.974	2.1						1.37	1.80	11.36			0.16000	0.34			0.51
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.8	7024	1.8	16.825	34.986	144.4															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.8	201624	1.8	16.852	34.985	145.2															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.8	201623	1.8	16.851	34.984	145.6															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.8	201622	1.8	16.846	34.986	145.6		109.0				6.49		40.73			0.46000			3.23000	3.31
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.9	7023	1.9	16.820	34.986	143.6															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.9	7019	1.9	16.848	34.985	145.4															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	1.9	7020	1.9	16.846	34.985	145.9															
M77/3-CTD7	2008-12-30T07:09	-10.000200	-78.381300	2.0	7022	2.0	16.835	34.985	143.7															
