Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	[NH4]+ OR [nmol/l/day]	Std dev [±] (Ammonium oxidation)	[NO2]- OR [nmol/l/day]	Std dev [±] (Nitrite oxidation)	[NO3]- RR [nmol/l/day]	Std dev [±] (Nitrate reduction)	Anammox rate [nmol/l/day]	Std dev [±] (Anammox)	DNRA [nmol/l/day]	Std dev [±] (DNRA)	Denitrifi [nmol/l/day] (coupled to H2S oxidation)	Std dev [±] (Denitrification H2S)	Denitrifi [nmol/l/day]	Std dev [±] (Denitrification)
M77/3-CTD5	2008-12-29T01:22	-6.0002	-81.3612	62	805	88.84	8.98	38.21	10.42	17.59	1.45	0.00	0.00	0.33	0.03	0.00	0.00	0.00	0.00
M77/3-CTD5	2008-12-29T01:22	-6.0002	-81.3612	69	805	42.10	1.72	121.56	8.09	42.77	10.59	1.75	0.23	1.31	0.14	0.00	0.00	0.00	0.00
M77/3-CTD5	2008-12-29T01:22	-6.0002	-81.3612	197	805	4.04	0.38	17.07	5.18	0.00	0.00	5.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00
M77/3-CTD5	2008-12-29T01:22	-6.0002	-81.3612	345	805	1.31	0.14	0.00	0.00	32.25	2.99	8.41	0.92	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	15	807	48.75	6.23	927.95	271.01	1010.22	429.07	112.32	19.94	1.10	0.19	0.00	0.00	4.94	3.39
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	20	807	24.60	1.72	723.27	179.25	0.00	0.00	17.15	1.37	0.00	0.00	0.00	0.00	5.42	1.39
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	40	807	5.23	0.34	0.00	0.00	895.06	304.11	17.30	1.54	0.76	0.18	0.00	0.00	0.00	0.00
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	60	807	3.40	0.61	0.00	0.00	0.00	0.00	106.07	15.09	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	80	807	3.43	0.39	0.00	0.00	0.00	0.00	182.11	17.65	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_807-3	2008-12-30T09:24	-10.0002	-78.3803	113	807	1.35	0.12	0.00	0.00	828.70	93.31	226.62	27.16	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	45	811	22.82	0.63	39.85	7.48	0.00	0.00	4.41	0.51	0.48	0.10	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	54	811	12.76	1.42	69.61	7.77	0.00	0.00	9.64	1.62	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	80	811	3.61	0.53	65.38	5.05	93.28	6.61	6.96	1.93	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	100	811	1.77	0.47	0.00	0.00	0.00	0.00	4.81	1.80	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	120	811	1.59	0.18	24.58	0.70	0.00	0.00	4.81	0.90	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_811-2	2008-12-31T13:30	-10.0002	-78.9667	140	811	1.85	0.25	140.24	9.91	256.83	61.36	63.96	8.24	0.00	0.00	0.00	0.00	0.00	0.00
M77/3_003-5	2009-01-02T18:50	-10.0017	-81.5020	52	3	60.26	4.19	35.08	5.48	39.65	7.29	1.61	0.47	0.00	0.00	0.00	0.00	0.00	0.00
