Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	POC [µmol/l]	PON [µmol/l]
M77/3_013-2	2009-01-08	-12.03	-77.79	150	PCTD_13	2.19	0.28
M77/3_013-2	2009-01-08	-12.03	-77.79	75	PCTD_13	2.37	0.26
M77/3_013-2	2009-01-08	-12.03	-77.79	100	PCTD_13	3.53	0.43
M77/3_013-2	2009-01-08	-12.03	-77.79	353	PCTD_13	3.91	0.44
M77/3_013-2	2009-01-08	-12.03	-77.79	250	PCTD_13	4.40	0.47
M77/3_013-2	2009-01-08	-12.03	-77.79	38	PCTD_13	4.93	0.58
M77/3_013-2	2009-01-08	-12.03	-77.79	5	PCTD_13	13.19	1.55
M77/3_019-3	2009-01-09	-12.36	-77.00	99	PCTD_19	6.13	0.88
M77/3_019-3	2009-01-09	-12.36	-77.00	80	PCTD_19	7.67	1.10
M77/3_019-3	2009-01-09	-12.36	-77.00	30	PCTD_19	8.89	1.34
M77/3_019-3	2009-01-09	-12.36	-77.00	15	PCTD_19	9.31	1.26
M77/3_019-3	2009-01-09	-12.36	-77.00	5	PCTD_19	14.84	2.05
M77/3_028-4	2009-01-12	-16.00	-77.00	300	PCTD_28	2.77	0.29
M77/3_028-4	2009-01-12	-16.00	-77.00	225	PCTD_28	2.88	0.34
M77/3_028-4	2009-01-12	-16.00	-77.00	357	PCTD_28	3.44	0.36
M77/3_028-4	2009-01-12	-16.00	-77.00	150	PCTD_28	3.91	0.44
M77/3_028-4	2009-01-12	-16.00	-77.00	75	PCTD_28	3.91	0.52
M77/3_028-4	2009-01-12	-16.00	-77.00	115	PCTD_28	3.97	0.46
M77/3_028-4	2009-01-12	-16.00	-77.00	5	PCTD_28	4.80	0.62
M77/3_036-2	2009-01-14	-16.00	-75.00	337	PCTD_36	2.18	0.20
M77/3_036-2	2009-01-14	-16.00	-75.00	180	PCTD_36	2.32	0.26
M77/3_036-2	2009-01-14	-16.00	-75.00	150	PCTD_36	2.61	0.28
M77/3_036-2	2009-01-14	-16.00	-75.00	120	PCTD_36	3.17	0.49
M77/3_036-2	2009-01-14	-16.00	-75.00	90	PCTD_36	3.99	0.47
M77/3_036-2	2009-01-14	-16.00	-75.00	250	PCTD_36	4.55	0.48
M77/3_036-2	2009-01-14	-16.00	-75.00	5	PCTD_36	7.89	0.94
M77/3_038-1	2009-01-15	-16.00	-74.25	175	PCTD_38	2.25	0.26
M77/3_038-1	2009-01-15	-16.00	-74.25	125	PCTD_38	2.31	0.27
M77/3_038-1	2009-01-15	-16.00	-74.25	255	PCTD_38	2.31	0.28
M77/3_038-1	2009-01-15	-16.00	-74.25	150	PCTD_38	2.79	0.33
M77/3_038-1	2009-01-15	-16.00	-74.25	200	PCTD_38	3.14	0.39
M77/3_038-1	2009-01-15	-16.00	-74.25	65	PCTD_38	3.98	0.52
M77/3_038-1	2009-01-15	-16.00	-74.25	5	PCTD_38	10.82	1.69
M77/3_044-3	2009-01-16	-17.34	-71.94	75	PCTD_44	1.97	0.23
M77/3_044-3	2009-01-16	-17.34	-71.94	280	PCTD_44	2.85	0.31
M77/3_044-3	2009-01-16	-17.34	-71.94	200	PCTD_44	4.21	0.47
M77/3_044-3	2009-01-16	-17.34	-71.94	150	PCTD_44	4.22	0.47
M77/3_044-3	2009-01-16	-17.34	-71.94	125	PCTD_44	4.79	0.54
M77/3_044-3	2009-01-16	-17.34	-71.94	87	PCTD_44	5.37	0.71
M77/3_044-3	2009-01-16	-17.34	-71.94	5	PCTD_44	12.77	1.68
M77/3_054-2	2009-01-19	-13.75	-77.03	75	PCTD_54	3.55	0.37
M77/3_054-2	2009-01-19	-13.75	-77.03	100	PCTD_54	3.74	0.42
M77/3_054-2	2009-01-19	-13.75	-77.03	200	PCTD_54	5.31	0.53
M77/3_054-2	2009-01-19	-13.75	-77.03	376	PCTD_54	6.34	0.45
M77/3_054-2	2009-01-19	-13.75	-77.03	41	PCTD_54	7.05	0.78
M77/3_054-2	2009-01-19	-13.75	-77.03	300	PCTD_54	9.24	0.67
M77/3_054-2	2009-01-19	-13.75	-77.03	5	PCTD_54	44.26	5.42
M77/3_062-1	2009-01-20	-13.50	-76.57	50	PCTD_62	4.67	0.58
M77/3_062-1	2009-01-20	-13.50	-76.57	100	PCTD_62	6.72	0.80
M77/3_062-1	2009-01-20	-13.50	-76.57	160	PCTD_62	7.36	0.89
M77/3_062-1	2009-01-20	-13.50	-76.57	130	PCTD_62	7.53	0.79
M77/3_062-1	2009-01-20	-13.50	-76.57	70	PCTD_62	8.36	0.94
M77/3_062-1	2009-01-20	-13.50	-76.57	40	PCTD_62	11.51	1.42
