/* DATA DESCRIPTION:
Citation:	Kalvelage, Tim (2015): Particulate organic carbon and nitrogen from pump-CTD during METEOR cruise M77/3. PANGAEA, https://doi.org/10.1594/PANGAEA.843414, 
	In supplement to: Kalvelage, Tim; Lavik, Gaute; Lam, Phyllis; Contreras, Sergio; Arteaga, Lionel; Löscher, Carolin R; Oschlies, Andreas; Stramma, Lothar; Kuypers, Marcel MM (2013): Nitrogen cycling driven by organic matter export in the South Pacific oxygen minimum zone. Nature Geoscience, 6(3), 228-234, https://doi.org/10.1038/ngeo1739
Project(s):	Climate - Biogeochemistry Interactions in the Tropical Ocean (SFB754) (URI: http://www.sfb754.de)
Coverage:	MEDIAN LATITUDE: -14.729057 * MEDIAN LONGITUDE: -75.763962 * SOUTH-BOUND LATITUDE: -17.340000 * WEST-BOUND LONGITUDE: -77.790000 * NORTH-BOUND LATITUDE: -12.030000 * EAST-BOUND LONGITUDE: -71.940000
	DATE/TIME START: 2009-01-08T00:00:00 * DATE/TIME END: 2009-01-20T00:00:00
	MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 376 m
Event(s):	M77/3_013-2 * LATITUDE: -12.033800 * LONGITUDE: -77.789000 * DATE/TIME: 2009-01-08T10:25:00 * ELEVATION: -353.5 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: AK6500
	M77/3_019-3 * LATITUDE: -12.363500 * LONGITUDE: -77.000200 * DATE/TIME: 2009-01-09T21:05:00 * ELEVATION: -100.4 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: AK6500
	M77/3_028-4 * LATITUDE: -16.000000 * LONGITUDE: -76.997300 * DATE/TIME: 2009-01-12T07:30:00 * ELEVATION: -2351.6 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: 0
	M77/3_036-2 * LATITUDE: -16.000200 * LONGITUDE: -75.000000 * DATE/TIME: 2009-01-14T20:10:00 * ELEVATION: -2834.6 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: 0
	M77/3_038-1 * LATITUDE: -16.000000 * LONGITUDE: -74.245000 * DATE/TIME: 2009-01-15T13:01:00 * ELEVATION: -251.9 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: AK6500
	M77/3_044-3 * LATITUDE: -17.345200 * LONGITUDE: -71.940300 * DATE/TIME: 2009-01-16T22:05:00 * ELEVATION: -284.4 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: AK6500
	M77/3_054-2 * LATITUDE: -13.751700 * LONGITUDE: -77.034200 * DATE/TIME: 2009-01-19T21:18:00 * ELEVATION: -1892.4 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO) * COMMENT: AK6500
	M77/3_062-1 * LATITUDE: -13.350000 * LONGITUDE: -76.748200 * DATE/TIME: 2009-01-21T17:04:00 * ELEVATION: -159.7 m * CAMPAIGN: M77/3 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: PumpCTD/Rosette (PCTD-RO)
Parameter(s):	Event label (Event)
	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Sample code/label (Sample label) * PI: Kalvelage, Tim (Tim.Kalvelage@Dal.Ca)
	Carbon, organic, particulate [µmol/l] (POC) * PI: Kalvelage, Tim (Tim.Kalvelage@Dal.Ca)
	Nitrogen, organic, particulate [µmol/l] (PON) * PI: Kalvelage, Tim (Tim.Kalvelage@Dal.Ca)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	159 data points
*/
Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	POC [µmol/l]	PON [µmol/l]
M77/3_013-2	2009-01-08	-12.03	-77.79	150	PCTD_13	2.19	0.28
M77/3_013-2	2009-01-08	-12.03	-77.79	75	PCTD_13	2.37	0.26
M77/3_013-2	2009-01-08	-12.03	-77.79	100	PCTD_13	3.53	0.43
M77/3_013-2	2009-01-08	-12.03	-77.79	353	PCTD_13	3.91	0.44
M77/3_013-2	2009-01-08	-12.03	-77.79	250	PCTD_13	4.40	0.47
M77/3_013-2	2009-01-08	-12.03	-77.79	38	PCTD_13	4.93	0.58
M77/3_013-2	2009-01-08	-12.03	-77.79	5	PCTD_13	13.19	1.55
M77/3_019-3	2009-01-09	-12.36	-77.00	99	PCTD_19	6.13	0.88
M77/3_019-3	2009-01-09	-12.36	-77.00	80	PCTD_19	7.67	1.10
M77/3_019-3	2009-01-09	-12.36	-77.00	30	PCTD_19	8.89	1.34
M77/3_019-3	2009-01-09	-12.36	-77.00	15	PCTD_19	9.31	1.26
M77/3_019-3	2009-01-09	-12.36	-77.00	5	PCTD_19	14.84	2.05
M77/3_028-4	2009-01-12	-16.00	-77.00	300	PCTD_28	2.77	0.29
M77/3_028-4	2009-01-12	-16.00	-77.00	225	PCTD_28	2.88	0.34
M77/3_028-4	2009-01-12	-16.00	-77.00	357	PCTD_28	3.44	0.36
M77/3_028-4	2009-01-12	-16.00	-77.00	150	PCTD_28	3.91	0.44
M77/3_028-4	2009-01-12	-16.00	-77.00	75	PCTD_28	3.91	0.52
M77/3_028-4	2009-01-12	-16.00	-77.00	115	PCTD_28	3.97	0.46
M77/3_028-4	2009-01-12	-16.00	-77.00	5	PCTD_28	4.80	0.62
M77/3_036-2	2009-01-14	-16.00	-75.00	337	PCTD_36	2.18	0.20
M77/3_036-2	2009-01-14	-16.00	-75.00	180	PCTD_36	2.32	0.26
M77/3_036-2	2009-01-14	-16.00	-75.00	150	PCTD_36	2.61	0.28
M77/3_036-2	2009-01-14	-16.00	-75.00	120	PCTD_36	3.17	0.49
M77/3_036-2	2009-01-14	-16.00	-75.00	90	PCTD_36	3.99	0.47
M77/3_036-2	2009-01-14	-16.00	-75.00	250	PCTD_36	4.55	0.48
M77/3_036-2	2009-01-14	-16.00	-75.00	5	PCTD_36	7.89	0.94
M77/3_038-1	2009-01-15	-16.00	-74.25	175	PCTD_38	2.25	0.26
M77/3_038-1	2009-01-15	-16.00	-74.25	125	PCTD_38	2.31	0.27
M77/3_038-1	2009-01-15	-16.00	-74.25	255	PCTD_38	2.31	0.28
M77/3_038-1	2009-01-15	-16.00	-74.25	150	PCTD_38	2.79	0.33
M77/3_038-1	2009-01-15	-16.00	-74.25	200	PCTD_38	3.14	0.39
M77/3_038-1	2009-01-15	-16.00	-74.25	65	PCTD_38	3.98	0.52
M77/3_038-1	2009-01-15	-16.00	-74.25	5	PCTD_38	10.82	1.69
M77/3_044-3	2009-01-16	-17.34	-71.94	75	PCTD_44	1.97	0.23
M77/3_044-3	2009-01-16	-17.34	-71.94	280	PCTD_44	2.85	0.31
M77/3_044-3	2009-01-16	-17.34	-71.94	200	PCTD_44	4.21	0.47
M77/3_044-3	2009-01-16	-17.34	-71.94	150	PCTD_44	4.22	0.47
M77/3_044-3	2009-01-16	-17.34	-71.94	125	PCTD_44	4.79	0.54
M77/3_044-3	2009-01-16	-17.34	-71.94	87	PCTD_44	5.37	0.71
M77/3_044-3	2009-01-16	-17.34	-71.94	5	PCTD_44	12.77	1.68
M77/3_054-2	2009-01-19	-13.75	-77.03	75	PCTD_54	3.55	0.37
M77/3_054-2	2009-01-19	-13.75	-77.03	100	PCTD_54	3.74	0.42
M77/3_054-2	2009-01-19	-13.75	-77.03	200	PCTD_54	5.31	0.53
M77/3_054-2	2009-01-19	-13.75	-77.03	376	PCTD_54	6.34	0.45
M77/3_054-2	2009-01-19	-13.75	-77.03	41	PCTD_54	7.05	0.78
M77/3_054-2	2009-01-19	-13.75	-77.03	300	PCTD_54	9.24	0.67
M77/3_054-2	2009-01-19	-13.75	-77.03	5	PCTD_54	44.26	5.42
M77/3_062-1	2009-01-20	-13.50	-76.57	50	PCTD_62	4.67	0.58
M77/3_062-1	2009-01-20	-13.50	-76.57	100	PCTD_62	6.72	0.80
M77/3_062-1	2009-01-20	-13.50	-76.57	160	PCTD_62	7.36	0.89
M77/3_062-1	2009-01-20	-13.50	-76.57	130	PCTD_62	7.53	0.79
M77/3_062-1	2009-01-20	-13.50	-76.57	70	PCTD_62	8.36	0.94
M77/3_062-1	2009-01-20	-13.50	-76.57	40	PCTD_62	11.51	1.42
