Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	Press [dbar]	Temp [°C]	Sal	OXYGEN [µmol/kg]	Sal	OXYGEN [µmol/kg]	NITRAT [µmol/kg]	NITRIT [µmol/kg]	N2O [nmol/kg]	SILCAT [µmol/kg]	PHSPHT [µmol/kg]	δ15N NO2 [‰ air]	δ15N NO3 [‰ air]	δ15N NO2+NO3 [‰ air]
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	1.9	1024	1.9	20.186												
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	2.6	1023	2.6	20.284												
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	5.8	1022	5.9	18.138	35.065	170.6										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	13.1	1021	13.2	14.891	34.996	3.6										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	17.9	1020	18.1	14.387	34.994	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	21.1	1019	21.3	14.307	34.990	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	24.9	1018	25.1	14.143	34.988	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	34.8	1017	35.1	14.050	34.986	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	40.2	1016	40.6	14.026	34.988	2.9										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	44.4	1015	44.8	13.980	34.988	2.9										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	49.8	1014	50.3	13.929	34.986	2.9										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	53.7	1013	54.2	13.854	34.980	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	57.1	1012	57.6	13.834	34.982	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	62.0	1011	62.6	13.778	34.980	2.8										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	68.4	1010	69.0	13.757	34.977	2.9										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	78.4	1009	79.1	13.753	34.977	3.0										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	86.3	1008	87.1	13.741	34.976	3.0										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	97.6	1007	98.5	13.710	34.974	3.0										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	105.2	1006	106.2	13.676	34.972	3.1										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	115.0	1001	116.1	13.636	34.969	3.1										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	115.2	1005	116.3	13.623	34.968	3.1										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	115.7	1003	116.8	13.626	34.969	3.1										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	116.1	1004	117.2	13.627	34.969	3.0										
M77/4-CTD1	2009-01-28T01:12	-12.232833	-77.317000	116.4	1002	117.5	13.632	34.969	3.1										
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	2.0	200019	2.0	14.796	34.956	83.5		#83.2			#23.31			-6.60	10.61	13.07
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	2.1	200023	2.1	14.788	34.958	83.3										
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	2.1	200020	2.1	14.802	34.957	83.8		82.0			#34.09					
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	2.3	200021	2.3	14.799	34.956	83.1										
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	2.3	200022	2.3	14.794	34.958	82.7										
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	9.9	200018	10.0	14.038	34.968	12.0		18.9			#41.49			-4.18	20.17	10.79
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	19.0	200017	19.2	13.761	34.965	2.6		2.9			#38.56			-6.06	16.49	8.30
M77/4-CTD2	2009-01-28T13:37	-13.999667	-76.510000	34.3	200016	34.6	13.566	34.957	2.7										
