/* DATA DESCRIPTION:
Citation:	Kalvelage, Tim (2015): Ammonium measured from water samples during METEOR cruise M77/4. PANGAEA, https://doi.org/10.1594/PANGAEA.843450, 
	In supplement to: Kalvelage, Tim; Lavik, Gaute; Lam, Phyllis; Contreras, Sergio; Arteaga, Lionel; Löscher, Carolin R; Oschlies, Andreas; Stramma, Lothar; Kuypers, Marcel MM (2013): Nitrogen cycling driven by organic matter export in the South Pacific oxygen minimum zone. Nature Geoscience, 6(3), 228-234, https://doi.org/10.1038/ngeo1739
Project(s):	Climate - Biogeochemistry Interactions in the Tropical Ocean (SFB754) (URI: http://www.sfb754.de)
Coverage:	MEDIAN LATITUDE: -8.075000 * MEDIAN LONGITUDE: -84.467650 * SOUTH-BOUND LATITUDE: -14.000000 * WEST-BOUND LONGITUDE: -85.833333 * NORTH-BOUND LATITUDE: -3.583333 * EAST-BOUND LONGITUDE: -80.998833
	DATE/TIME START: 2009-01-30T01:00:00 * DATE/TIME END: 2009-02-09T20:42:00
	MINIMUM DEPTH, water: 1.1 m * MAXIMUM DEPTH, water: 998.2 m
Event(s):	M77/4-CTD10 * LATITUDE: -14.000000 * LONGITUDE: -80.998833 * DATE/TIME: 2009-01-30T01:00:00 * ELEVATION: -4813.0 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD18 * LATITUDE: -14.000000 * LONGITUDE: -85.833333 * DATE/TIME: 2009-01-31T20:45:00 * ELEVATION: -4583.8 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD19 * LATITUDE: -14.000000 * LONGITUDE: -85.833333 * DATE/TIME: 2009-01-31T23:49:00 * ELEVATION: -4573.4 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD27 * LATITUDE: -10.000000 * LONGITUDE: -85.833333 * DATE/TIME: 2009-02-02T08:33:00 * ELEVATION: -4407.4 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD35 * LATITUDE: -3.583333 * LONGITUDE: -85.833333 * DATE/TIME: 2009-02-04T12:35:00 * ELEVATION: -3262.8 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD36 * LATITUDE: -3.583333 * LONGITUDE: -85.833333 * DATE/TIME: 2009-02-04T15:24:00 * ELEVATION: -3265.6 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	M77/4-CTD47 * LATITUDE: -3.583333 * LONGITUDE: -81.344000 * DATE/TIME: 2009-02-06T16:22:00 * ELEVATION: -1216.2 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	M77/4-CTD51 * LATITUDE: -6.000000 * LONGITUDE: -81.500500 * DATE/TIME: 2009-02-07T17:43:00 * ELEVATION: -2425.9 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD63 * LATITUDE: -6.000000 * LONGITUDE: -85.833333 * DATE/TIME: 2009-02-09T17:29:00 * ELEVATION: -4098.6 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
	M77/4-CTD64 * LATITUDE: -6.000000 * LONGITUDE: -85.833167 * DATE/TIME: 2009-02-09T20:42:00 * ELEVATION: -4109.7 m * CAMPAIGN: M77/4 (URI: https://doi.org/10.2312/cr_m77) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: CTD/Rosette (CTD-RO) * COMMENT: W2
Parameter(s):	Event label (Event)
	Date/Time of event (Date/Time)
	Latitude of event (Latitude)
	Longitude of event (Longitude)
	DEPTH, water [m] (Depth water) * GEOCODE
	Bottle number (Bottle) * PI: Kalvelage, Tim (Tim.Kalvelage@Dal.Ca)
	Ammonium [µmol/l] ([NH4]+) * PI: Kalvelage, Tim (Tim.Kalvelage@Dal.Ca)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	186 data points
*/
Event	Date/Time	Latitude	Longitude	Depth water [m]	Bottle	[NH4]+ [µmol/l]
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	1.2	24	0.18
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	49.5	21	0.32
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	100.0	19	0.03
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	124.6	18	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	150.0	17	0.00
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	199.7	14	0.07
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	247.4	12	0.00
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	298.5	11	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	371.1	9	0.01
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	445.1	7	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	593.9	5	0.01
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	993.2	1	0.04
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	160.2	22	0.03
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	168.8	21	0.02
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	199.3	20	0.07
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	298.3	19	0.03
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	372.1	18	0.00
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	596.5	16	0.02
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	998.2	12	0.00
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	9.5	20	0.16
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	50.3	17	0.84
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	120.1	12	0.00
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	251.2	6	0.04
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	25.3	22	0.05
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	49.5	21	1.10
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	100.0	20	0.02
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	119.9	19	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	127.2	17	0.14
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	200.3	14	0.01
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	244.8	13	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	297.9	12	0.09
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	397.8	11	0.03
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	519.7	8	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	594.2	7	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	990.7	5	0.00
M77/4-CTD35	2009-02-04T12:35	-3.58333	-85.83333	496.1	24	0.01
M77/4-CTD35	2009-02-04T12:35	-3.58333	-85.83333	990.7	19	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	1.8	24	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	24.6	22	0.17
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	50.6	21	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	99.4	19	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	150.1	18	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	172.8	15	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	199.8	14	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	217.6	10	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	247.2	9	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	298.9	8	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	397.6	6	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	1.2	24	0.52
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	24.8	23	0.50
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	50.1	22	0.06
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	123.9	19	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	150.4	18	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	198.3	14	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	227.0	13	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	248.3	12	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	297.2	11	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	346.4	10	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	399.2	7	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	497.9	6	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	595.0	4	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	1.1	24	0.08
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	20.3	22	1.14
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	41.1	21	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	69.6	18	0.07
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	100.0	16	0.00
