Event	Date/Time	Latitude	Longitude	Depth water [m]	Bottle	Sample label	POC [µmol/l]	PON [µmol/l]
M77/4-CTD10	2009-01-30	-14.00	-81.00	445.1	7	200222	2.88	0.33
M77/4-CTD10	2009-01-30	-14.00	-81.00	371.2	9	200224	5.38	0.68
M77/4-CTD10	2009-01-30	-14.00	-81.00	298.5	11	200226	4.80	0.55
M77/4-CTD10	2009-01-30	-14.00	-81.00	199.7	14	200229	5.12	0.67
M77/4-CTD10	2009-01-30	-14.00	-81.00	150.0	17	200232	5.50	0.85
M77/4-CTD10	2009-01-30	-14.00	-81.00	1.2	24	200239	8.63	1.00
M77/4-CTD18	2009-01-31	-14.00	-85.83	372.2	18	201425	3.97	0.58
M77/4-CTD18	2009-01-31	-14.00	-85.83	298.4	19	201426	3.99	0.52
M77/4-CTD18	2009-01-31	-14.00	-85.83	199.3	20	201427	5.35	0.84
M77/4-CTD18	2009-01-31	-14.00	-85.83	168.9	21	201428	4.63	0.60
M77/4-CTD18	2009-01-31	-14.00	-85.83	160.2	22	201429	7.12	0.96
M77/4-CTD19	2009-01-31	-14.00	-85.83	9.5	20	201451	14.46	2.27
M77/4-CTD27	2009-02-02	-10.00	-85.83	519.7	8	200607	2.46	0.22
M77/4-CTD27	2009-02-02	-10.00	-85.83	397.8	11	200610	3.59	0.45
M77/4-CTD27	2009-02-02	-10.00	-85.83	297.9	12	200611	3.57	0.39
M77/4-CTD27	2009-02-02	-10.00	-85.83	200.4	14	200613	2.74	0.34
M77/4-CTD27	2009-02-02	-10.00	-85.83	127.2	17	200616	4.02	0.54
M77/4-CTD27	2009-02-02	-10.00	-85.83	25.4	22	200621	8.45	1.37
M77/4-CTD36	2009-02-04	-3.58	-85.83	397.6	6	200797	5.28	0.90
M77/4-CTD36	2009-02-04	-3.58	-85.83	299.0	8	200799	3.59	0.63
M77/4-CTD36	2009-02-04	-3.58	-85.83	217.6	10	200801	5.04	0.73
M77/4-CTD36	2009-02-04	-3.58	-85.83	199.8	14	200805	5.84	0.98
M77/4-CTD36	2009-02-04	-3.58	-85.83	1.9	23	200814	7.09	1.04
M77/4-CTD47	2009-02-06	-3.58	-81.34	498.1	5	201044	4.08	0.60
M77/4-CTD47	2009-02-06	-3.58	-81.34	346.4	10	201049	5.81	0.92
M77/4-CTD47	2009-02-06	-3.58	-81.34	227.1	13	201052	5.25	0.75
M77/4-CTD47	2009-02-06	-3.58	-81.34	1.2	24	201063	7.49	1.29
M77/4-CTD51	2009-02-07	-6.00	-81.50	432.1	6	201141	6.12	1.09
M77/4-CTD51	2009-02-07	-6.00	-81.50	299.1	8	201143	4.90	0.81
M77/4-CTD51	2009-02-07	-6.00	-81.50	199.1	11	201146	3.60	0.56
M77/4-CTD51	2009-02-07	-6.00	-81.50	41.2	19	201154	6.73	1.16
M77/4-CTD51	2009-02-07	-6.00	-81.50	1.1	24	201159	8.40	1.58
M77/4-CTD63	2009-02-09	-6.00	-85.83	463.0	20	1200692	3.91	0.64
M77/4-CTD63	2009-02-09	-6.00	-85.83	355.1	21	1200693	4.01	0.78
M77/4-CTD63	2009-02-09	-6.00	-85.83	263.8	23	1200695	3.78	0.57
M77/4-CTD63	2009-02-09	-6.00	-85.83	196.9	24	1200696	4.23	0.70
M77/4-CTD64	2009-02-09	-6.00	-85.83	74.5	18	1200716	5.62	0.95
M77/4-CTD64	2009-02-09	-6.00	-85.83	2.0	24	1200722	15.04	2.46
